full_name,stars,html_url,created_at,updated_at,size,language,age_years,num_releases
tonikelope/megabasterd,5166,https://github.com/tonikelope/megabasterd,2016-09-29T16:54:54Z,2025-09-06T16:11:34Z,85025,Java,8.94,30
android/views-widgets-samples,5155,https://github.com/android/views-widgets-samples,2019-09-06T21:39:12Z,2025-09-04T02:32:56Z,63755,Java,6.0,0
square/otto,5149,https://github.com/square/otto,2012-06-27T19:06:49Z,2025-08-30T03:26:18Z,703,Java,13.19,0
j-easy/easy-rules,5149,https://github.com/j-easy/easy-rules,2013-03-10T14:38:26Z,2025-09-06T09:09:21Z,1776,Java,12.49,10
careercup/ctci,5147,https://github.com/careercup/ctci,2013-03-21T23:01:01Z,2025-09-02T18:21:32Z,2169,Java,12.46,0
novicezk/midjourney-proxy,5143,https://github.com/novicezk/midjourney-proxy,2023-04-24T13:43:45Z,2025-09-05T18:03:57Z,5870,Java,2.37,0
reactor/reactor-core,5137,https://github.com/reactor/reactor-core,2015-11-10T10:06:40Z,2025-09-06T04:21:17Z,65883,Java,9.82,30
Fuzion24/JustTrustMe,5135,https://github.com/Fuzion24/JustTrustMe,2014-07-24T23:45:05Z,2025-09-05T06:19:03Z,434,Java,11.12,1
bitcoinj/bitcoinj,5132,https://github.com/bitcoinj/bitcoinj,2013-11-19T04:33:23Z,2025-09-04T15:31:56Z,27929,Java,11.8,14
brianfrankcooper/YCSB,5131,https://github.com/brianfrankcooper/YCSB,2010-04-19T20:52:11Z,2025-09-02T08:27:59Z,32680,Java,15.38,30
LWJGL/lwjgl3,5121,https://github.com/LWJGL/lwjgl3,2012-12-23T15:40:04Z,2025-09-06T05:56:47Z,131172,Java,12.7,21
runelite/runelite,5108,https://github.com/runelite/runelite,2016-04-30T20:48:02Z,2025-09-06T03:45:43Z,93438,Java,9.35,0
CellularPrivacy/Android-IMSI-Catcher-Detector,5092,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,2013-11-23T10:04:14Z,2025-09-05T08:45:15Z,11276,Java,11.79,30
