repo,CBO_media,CBO_mediana,CBO_std,DIT_media,DIT_mediana,DIT_std,LCOM_media,LCOM_mediana,LCOM_std,LOC_total
H07000223_FlycoTabLayout,6.454545454545454,3.0,8.867394308261126,1.5454545454545454,1.0,0.7111130839619098,223.0909090909091,1.0,720.4494414789096,2730
daniulive_SmarterStreaming,3.8430232558139537,2.0,7.151968455941178,1.052325581395349,1.0,0.2233329375152536,71.55232558139535,0.0,506.26346219380173,10750
lingochamp_FileDownloader,4.5278810408921935,2.0,5.449579229338784,1.687732342007435,1.0,2.503556810661841,42.014869888475836,1.0,232.44795550158608,14387
beemdevelopment_Aegis,7.443956043956044,5.0,9.498472040248641,1.7076923076923076,1.0,1.0197640274282738,22.81758241758242,1.0,141.78475231750815,24033
jfeinstein10_SlidingMenu,4.77027027027027,3.0,5.233054314661747,1.8243243243243243,1.0,1.1976930805889432,47.445945945945944,0.0,228.99142425121462,3085
androidannotations_androidannotations,5.535825545171339,4.0,5.8248440967324315,1.6697819314641744,1.0,0.8811909903898759,26.09865005192108,1.0,213.17715303019534,28800
datahub-project_datahub,11.455454545454545,9.0,12.754359034921706,1.2115151515151514,1.0,0.5501143269647369,17.277575757575757,1.0,92.74787575622379,189162
doocs_jvm,0.0,0.0,,1.0,1.0,,0.0,0.0,,5
LawnchairLauncher_lawnchair,8.69323076923077,4.0,12.025354755476103,1.4310769230769231,1.0,0.8121615673252499,97.1003076923077,1.0,1006.0026497336205,248520
ssssssss-team_spider-flow,5.385093167701863,4.0,5.169697901958636,1.7329192546583851,1.0,3.4017601399407105,20.32919254658385,1.0,49.785135381647244,8748
square_javapoet,4.515151515151516,2.0,5.920155190263927,1.1515151515151516,1.0,0.6121830519165027,129.2929292929293,0.0,749.2440578441721,7543
apple_pkl,6.330055316533497,5.0,7.94545366129443,4.379840196681008,4.0,15.466172641006212,28.83958205285802,0.0,223.45418302916676,62578
jwtk_jjwt,5.605405405405405,4.0,6.827236781055105,1.972972972972973,1.0,2.3680311379682815,25.834234234234234,1.0,142.1453770341593,16052
microg_GmsCore,5.736871199557767,5.0,4.968971794236607,1.7114427860696517,2.0,0.9100511553039805,14.226644555002764,0.0,68.81728033612536,54634
alibaba_vlayout,5.314465408805032,3.0,6.714935520751223,1.8553459119496856,1.0,1.491904220240838,72.54088050314465,0.0,368.42813122123175,14042
aosp-mirror_platform_frameworks_base,,,,,,,,,,0
asLody_VirtualApp,3.828169014084507,2.0,5.305871416324148,2.5880281690140845,2.0,11.271084586908147,15.611267605633802,0.0,114.80949511662648,46624
TooTallNate_Java-WebSocket,3.5555555555555554,2.0,4.1270423589392236,1.8199233716475096,1.0,1.3509774217600796,36.62068965517241,6.0,184.14627806213713,12805
clojure_clojure,3.6030534351145036,0.0,7.8832578835463245,1.495092693565976,1.0,2.34269931578794,130.39149400218102,0.0,1974.9262233894965,46876
android-async-http_android-async-http,5.662337662337662,4.0,6.1508496455663035,1.7857142857142858,1.0,1.078393174775521,45.87662337662338,3.0,293.7046297138016,7620
jeasonlzy_okhttp-OkGo,5.595567867036011,5.0,5.068681865849033,1.6232686980609419,1.0,1.0759550575810002,19.445983379501385,0.0,124.49892008317784,13418
StarRocks_starrocks,7.309978991596639,4.0,16.754489442605596,1.4871848739495799,1.0,1.0504870857890571,133.73539915966387,0.0,3021.3574854677777,735575
google_auto,4.114135206321334,3.0,8.609328044052212,1.7058823529411764,1.0,3.252479193407077,25.593503072870938,1.0,270.46894248794484,31941
